datetime,open,high,low,close
2022-08-05 21:00:00,135.042,135.106,134.896,134.953
2022-08-07 23:00:00,135.052,135.312,135.05,135.169
2022-08-08 00:00:00,135.168,135.169,134.97,135.05
2022-08-08 01:00:00,135.056,135.583,135.0,135.344
2022-08-08 02:00:00,135.343,135.343,135.03,135.171
2022-08-08 03:00:00,135.171,135.42,135.13,135.22
2022-08-08 04:00:00,135.239,135.302,135.05,135.117
2022-08-08 05:00:00,135.116,135.297,135.08,135.246
2022-08-08 06:00:00,135.254,135.339,135.16,135.209
2022-08-08 07:00:00,135.208,135.466,135.15,135.322
2022-08-08 08:00:00,135.32,135.4,134.88,134.991
2022-08-08 09:00:00,134.99,135.208,134.88,135.128
2022-08-08 10:00:00,135.128,135.205,134.97,135.012
2022-08-08 11:00:00,135.01,135.072,134.77,134.844
2022-08-08 12:00:00,134.844,134.92,134.57,134.798
2022-08-08 13:00:00,134.801,135.0,134.73,134.844
2022-08-08 14:00:00,134.844,134.909,134.36,134.45
2022-08-08 15:00:00,134.45,134.759,134.33,134.733
2022-08-08 16:00:00,134.732,134.781,134.45,134.727
2022-08-08 17:00:00,134.727,134.748,134.57,134.621
2022-08-08 18:00:00,134.623,134.755,134.59,134.73
2022-08-08 19:00:00,134.729,134.879,134.66,134.856
2022-08-08 20:00:00,134.861,135.112,134.81,135.075
2022-08-08 21:00:00,135.073,135.076,134.89,134.961
2022-08-08 22:00:00,134.839,135.02,134.801,134.993
2022-08-08 23:00:00,134.966,135.018,134.89,135.002
2022-08-09 00:00:00,135.004,135.004,134.78,134.832
2022-08-09 01:00:00,134.83,135.037,134.74,134.877
2022-08-09 02:00:00,134.874,134.889,134.63,134.745
2022-08-09 03:00:00,134.747,134.867,134.68,134.864
2022-08-09 04:00:00,134.861,135.047,134.83,134.929
2022-08-09 05:00:00,134.929,134.987,134.8,134.909
2022-08-09 06:00:00,134.909,135.061,134.86,135.005
2022-08-09 07:00:00,135.004,135.16,134.87,134.91
2022-08-09 08:00:00,134.91,135.009,134.81,134.881
2022-08-09 09:00:00,134.886,135.034,134.77,134.899
2022-08-09 10:00:00,134.899,134.962,134.82,134.857
2022-08-09 11:00:00,134.839,134.938,134.69,134.889
2022-08-09 12:00:00,134.885,135.091,134.85,135.08
2022-08-09 13:00:00,135.077,135.192,134.83,134.926
2022-08-09 14:00:00,134.923,135.066,134.83,135.02
2022-08-09 15:00:00,135.021,135.068,134.83,134.954
2022-08-09 16:00:00,134.95,135.045,134.88,134.951
2022-08-09 17:00:00,134.951,135.041,134.89,135.036
2022-08-09 18:00:00,135.036,135.098,134.96,135.092
2022-08-09 19:00:00,135.096,135.2,135.07,135.171
2022-08-09 20:00:00,135.171,135.202,135.08,135.11
2022-08-09 21:00:00,135.119,135.165,135.01,135.037
2022-08-09 22:00:00,135.015,135.14,135.014,135.079
2022-08-09 23:00:00,135.083,135.13,135.04,135.108
2022-08-10 00:00:00,135.107,135.199,135.07,135.19
2022-08-10 01:00:00,135.198,135.303,135.08,135.213
2022-08-10 02:00:00,135.212,135.243,135.02,135.059
2022-08-10 03:00:00,135.057,135.104,134.95,134.992
2022-08-10 04:00:00,134.997,135.042,134.89,134.951
2022-08-10 05:00:00,134.946,135.006,134.86,134.987
2022-08-10 06:00:00,134.987,135.06,134.9,134.997
2022-08-10 07:00:00,134.986,135.098,134.96,135.045
2022-08-10 08:00:00,135.046,135.087,134.88,134.946
2022-08-10 09:00:00,134.95,135.053,134.89,134.96
2022-08-10 10:00:00,134.968,134.989,134.81,134.939
2022-08-10 11:00:00,134.938,135.012,134.88,134.975
2022-08-10 12:00:00,134.976,135.036,134.77,134.814
2022-08-10 13:00:00,134.812,135.09,132.665,133.141
2022-08-10 14:00:00,133.142,133.32,132.55,132.588
2022-08-10 15:00:00,132.586,132.657,132.0,132.096
2022-08-10 16:00:00,132.095,132.68,132.03,132.575
2022-08-10 17:00:00,132.569,132.675,132.45,132.52
2022-08-10 18:00:00,132.543,132.614,132.32,132.606
2022-08-10 19:00:00,132.601,133.073,132.55,132.867
2022-08-10 20:00:00,132.868,133.031,132.84,132.91
2022-08-10 21:00:00,132.912,132.953,132.84,132.876
2022-08-10 22:00:00,132.867,132.95,132.836,132.87
2022-08-10 23:00:00,132.863,132.956,132.7,132.848
2022-08-11 00:00:00,132.849,132.913,132.74,132.805
2022-08-11 01:00:00,132.81,132.898,132.58,132.763
2022-08-11 02:00:00,132.768,133.186,132.74,133.117
2022-08-11 03:00:00,133.117,133.313,133.03,133.25
2022-08-11 04:00:00,133.249,133.284,133.09,133.161
2022-08-11 05:00:00,133.157,133.195,133.0,133.129
2022-08-11 06:00:00,133.128,133.192,133.07,133.162
2022-08-11 07:00:00,133.163,133.181,132.57,132.68
2022-08-11 08:00:00,132.68,132.745,132.4,132.43
2022-08-11 09:00:00,132.435,132.675,132.41,132.512
2022-08-11 10:00:00,132.511,132.706,132.42,132.584
2022-08-11 11:00:00,132.579,132.711,132.53,132.624
2022-08-11 12:00:00,132.623,132.638,132.26,132.379
2022-08-11 13:00:00,132.375,132.383,131.71,131.934
2022-08-11 14:00:00,131.936,132.269,131.85,132.11
2022-08-11 15:00:00,132.11,132.728,132.04,132.586
2022-08-11 16:00:00,132.586,132.89,132.51,132.678
2022-08-11 17:00:00,132.682,132.83,132.58,132.782
2022-08-11 18:00:00,132.777,133.042,132.72,133.006
2022-08-11 19:00:00,133.007,133.109,132.9,132.929
2022-08-11 20:00:00,132.93,133.136,132.9,133.112
2022-08-11 21:00:00,133.112,133.129,132.924,133.0
2022-08-11 22:00:00,132.994,133.035,132.918,133.006
2022-08-11 23:00:00,133.0,133.025,132.86,132.94
2022-08-12 00:00:00,132.947,133.116,132.92,133.012
2022-08-12 01:00:00,133.014,133.443,132.87,133.27
2022-08-12 02:00:00,133.271,133.389,133.14,133.303
2022-08-12 03:00:00,133.302,133.493,133.27,133.441
2022-08-12 04:00:00,133.44,133.452,133.22,133.279
2022-08-12 05:00:00,133.278,133.339,133.06,133.246
2022-08-12 06:00:00,133.244,133.287,133.04,133.18
2022-08-12 07:00:00,133.186,133.394,133.11,133.332
2022-08-12 08:00:00,133.332,133.441,133.15,133.26
2022-08-12 09:00:00,133.261,133.364,133.14,133.23
2022-08-12 10:00:00,133.235,133.484,133.2,133.475
2022-08-12 11:00:00,133.473,133.727,133.32,133.604
2022-08-12 12:00:00,133.608,133.894,133.5,133.823
2022-08-12 13:00:00,133.824,133.887,133.42,133.66
2022-08-12 14:00:00,133.684,133.765,133.43,133.48
2022-08-12 15:00:00,133.476,133.873,133.41,133.719
2022-08-12 16:00:00,133.719,133.721,133.51,133.582
2022-08-12 17:00:00,133.58,133.612,133.48,133.586
2022-08-12 18:00:00,133.586,133.591,133.41,133.479
2022-08-12 19:00:00,133.482,133.513,133.41,133.482
2022-08-12 20:00:00,133.485,133.529,133.41,133.485
2022-08-12 21:00:00,133.486,133.539,133.377,133.388
2022-08-14 23:00:00,133.436,133.594,133.417,133.496
2022-08-15 00:00:00,133.498,133.503,133.18,133.316
2022-08-15 01:00:00,133.318,133.396,132.87,133.029
2022-08-15 02:00:00,133.03,133.305,132.95,133.286
2022-08-15 03:00:00,133.292,133.345,133.19,133.3
2022-08-15 04:00:00,133.3,133.364,133.1,133.184
2022-08-15 05:00:00,133.189,133.235,133.14,133.197
2022-08-15 06:00:00,133.201,133.276,133.1,133.192
2022-08-15 07:00:00,133.192,133.339,133.1,133.32
2022-08-15 08:00:00,133.32,133.542,133.24,133.51
2022-08-15 09:00:00,133.518,133.522,133.32,133.368
2022-08-15 10:00:00,133.369,133.431,133.21,133.428
2022-08-15 11:00:00,133.424,133.494,133.29,133.359
2022-08-15 12:00:00,133.356,133.395,133.13,133.184
2022-08-15 13:00:00,133.181,133.184,132.52,132.683
2022-08-15 14:00:00,132.69,132.832,132.53,132.742
2022-08-15 15:00:00,132.743,133.093,132.67,132.995
2022-08-15 16:00:00,132.993,133.187,132.9,133.145
2022-08-15 17:00:00,133.146,133.274,133.08,133.133
2022-08-15 18:00:00,133.136,133.293,133.12,133.291
2022-08-15 19:00:00,133.289,133.336,133.19,133.307
2022-08-15 20:00:00,133.308,133.341,133.23,133.294
2022-08-15 21:00:00,133.297,133.35,133.26,133.309
2022-08-15 22:00:00,133.306,133.355,133.184,133.269
2022-08-15 23:00:00,133.263,133.273,133.07,133.155
2022-08-16 00:00:00,133.154,133.174,133.02,133.131
2022-08-16 01:00:00,133.131,133.25,132.92,133.191
2022-08-16 02:00:00,133.192,133.486,133.14,133.37
2022-08-16 03:00:00,133.376,133.437,133.26,133.365
2022-08-16 04:00:00,133.363,133.402,133.26,133.349
2022-08-16 05:00:00,133.349,133.495,133.32,133.446
2022-08-16 06:00:00,133.448,133.486,133.26,133.297
2022-08-16 07:00:00,133.298,133.454,133.23,133.419
2022-08-16 08:00:00,133.419,133.8,133.36,133.656
2022-08-16 09:00:00,133.669,133.954,133.61,133.939
2022-08-16 10:00:00,133.936,134.2,133.84,134.144
2022-08-16 11:00:00,134.147,134.243,134.03,134.205
2022-08-16 12:00:00,134.204,134.487,134.17,134.389
2022-08-16 13:00:00,134.388,134.685,134.24,134.595
2022-08-16 14:00:00,134.597,134.672,134.4,134.508
2022-08-16 15:00:00,134.508,134.548,134.18,134.378
2022-08-16 16:00:00,134.378,134.441,134.22,134.383
2022-08-16 17:00:00,134.386,134.459,134.32,134.397
2022-08-16 18:00:00,134.401,134.405,134.28,134.337
2022-08-16 19:00:00,134.337,134.337,134.21,134.233
2022-08-16 20:00:00,134.231,134.249,134.14,134.193
2022-08-16 21:00:00,134.198,134.278,134.15,134.207
2022-08-16 22:00:00,134.227,134.241,134.153,134.225
2022-08-16 23:00:00,134.236,134.299,134.19,134.286
2022-08-17 00:00:00,134.286,134.324,134.2,134.28
2022-08-17 01:00:00,134.28,134.431,134.09,134.13
2022-08-17 02:00:00,134.132,134.216,133.97,134.019
2022-08-17 03:00:00,134.02,134.153,133.88,134.148
2022-08-17 04:00:00,134.147,134.214,134.08,134.135
2022-08-17 05:00:00,134.135,134.185,134.08,134.153
2022-08-17 06:00:00,134.152,134.229,134.06,134.159
2022-08-17 07:00:00,134.161,134.585,134.14,134.418
2022-08-17 08:00:00,134.416,134.857,134.37,134.792
2022-08-17 09:00:00,134.796,134.909,134.7,134.814
2022-08-17 10:00:00,134.809,134.859,134.62,134.79
2022-08-17 11:00:00,134.791,134.978,134.74,134.96
2022-08-17 12:00:00,134.961,135.2,134.91,135.156
2022-08-17 13:00:00,135.156,135.395,135.0,135.103
2022-08-17 14:00:00,135.105,135.303,134.91,135.296
2022-08-17 15:00:00,135.295,135.478,135.15,135.462
2022-08-17 16:00:00,135.459,135.501,135.29,135.425
2022-08-17 17:00:00,135.423,135.469,135.29,135.4
2022-08-17 18:00:00,135.401,135.481,135.33,135.411
2022-08-17 19:00:00,135.412,135.421,134.76,135.043
2022-08-17 20:00:00,135.042,135.069,134.93,135.02
2022-08-17 21:00:00,135.02,135.102,134.964,135.05
2022-08-17 22:00:00,135.019,135.12,134.964,135.1
2022-08-17 23:00:00,135.091,135.181,135.03,135.07
2022-08-18 00:00:00,135.072,135.167,134.91,134.953
2022-08-18 01:00:00,134.952,135.029,134.71,134.808
2022-08-18 02:00:00,134.805,134.971,134.73,134.84
2022-08-18 03:00:00,134.84,134.975,134.81,134.87
2022-08-18 04:00:00,134.867,135.09,134.81,135.065
2022-08-18 05:00:00,135.072,135.148,135.0,135.074
2022-08-18 06:00:00,135.069,135.248,134.96,135.213
2022-08-18 07:00:00,135.213,135.432,135.13,135.406
2022-08-18 08:00:00,135.407,135.413,135.11,135.299
2022-08-18 09:00:00,135.295,135.326,135.12,135.206
2022-08-18 10:00:00,135.206,135.348,135.12,135.17
2022-08-18 11:00:00,135.193,135.253,135.07,135.215
2022-08-18 12:00:00,135.215,135.233,134.75,134.8
2022-08-18 13:00:00,134.806,135.147,134.62,134.929
2022-08-18 14:00:00,134.927,135.06,134.82,135.004
2022-08-18 15:00:00,135.0,135.218,134.95,135.204
2022-08-18 16:00:00,135.205,135.34,135.04,135.29
2022-08-18 17:00:00,135.299,135.698,135.24,135.638
2022-08-18 18:00:00,135.638,135.901,135.61,135.897
2022-08-18 19:00:00,135.892,135.899,135.81,135.891
2022-08-18 20:00:00,135.893,135.9,135.82,135.88
2022-08-18 21:00:00,135.885,135.901,135.85,135.887
2022-08-18 22:00:00,135.876,135.888,135.83,135.87
2022-08-18 23:00:00,135.864,135.901,135.8,135.889
2022-08-19 00:00:00,135.896,135.897,135.69,135.805
2022-08-19 01:00:00,135.793,136.375,135.79,136.279
2022-08-19 02:00:00,136.274,136.34,136.12,136.238
2022-08-19 03:00:00,136.243,136.248,136.04,136.11
2022-08-19 04:00:00,136.117,136.315,136.1,136.305
2022-08-19 05:00:00,136.302,136.345,136.17,136.27
2022-08-19 06:00:00,136.266,136.297,136.09,136.203
2022-08-19 07:00:00,136.202,136.491,136.17,136.491
2022-08-19 08:00:00,136.487,136.689,136.42,136.66
2022-08-19 09:00:00,136.659,136.764,136.38,136.476
2022-08-19 10:00:00,136.478,136.615,136.36,136.579
2022-08-19 11:00:00,136.58,136.885,136.54,136.865
2022-08-19 12:00:00,136.865,137.139,136.78,137.023
2022-08-19 13:00:00,137.025,137.076,136.78,136.823
2022-08-19 14:00:00,136.826,137.089,136.7,136.912
2022-08-19 15:00:00,136.914,137.231,136.83,137.124
2022-08-19 16:00:00,137.125,137.208,136.93,137.0
2022-08-19 17:00:00,137.022,137.024,136.81,136.873
2022-08-19 18:00:00,136.871,136.904,136.73,136.801
2022-08-19 19:00:00,136.801,136.899,136.71,136.893
2022-08-19 20:00:00,136.894,136.894,136.76,136.79
2022-08-19 21:00:00,136.79,136.993,136.74,136.899
2022-08-21 23:00:00,136.821,137.034,136.8,136.999
2022-08-22 00:00:00,136.998,137.078,136.9,137.021
2022-08-22 01:00:00,137.026,137.279,136.92,137.257
2022-08-22 02:00:00,137.269,137.396,137.17,137.333
2022-08-22 03:00:00,137.327,137.433,137.25,137.308
2022-08-22 04:00:00,137.304,137.361,137.17,137.24
2022-08-22 05:00:00,137.243,137.263,137.08,137.238
2022-08-22 06:00:00,137.241,137.29,137.12,137.25
2022-08-22 07:00:00,137.287,137.306,136.89,137.06
2022-08-22 08:00:00,137.063,137.066,136.74,136.842
